year,elderly_coverage_rate,young_coverage_rate,working_coverage_rate,hdb_coverage_rate,private_coverage_rate
2000,0.58438,0.57129,0.56419,0.6117,0.30212
2001,0.58785,0.57584,0.56909,0.61469,0.33591
2002,0.58711,0.57713,0.56821,0.61573,0.33935
2003,0.67552,0.65637,0.65039,0.69759,0.41661
2004,0.6761,0.65855,0.64965,0.69874,0.42285
2005,0.67501,0.66116,0.64954,0.69976,0.43165
2006,0.673,0.66234,0.64838,0.69963,0.43811
2007,0.67137,0.66249,0.6474,0.69944,0.43807
2008,0.67075,0.66405,0.64779,0.69891,0.43841
2009,0.68162,0.6876,0.67081,0.72323,0.45118
2010,0.70508,0.70275,0.68944,0.73947,0.48245
2011,0.74484,0.75388,0.73587,0.78135,0.55683
2012,0.74421,0.7547,0.73595,0.78199,0.55759
2013,0.74302,0.75427,0.73545,0.782,0.55665
2014,0.74158,0.75178,0.735,0.78093,0.55956
2015,0.76165,0.76617,0.75535,0.78185,0.66221
2016,0.76189,0.76848,0.75638,0.78379,0.66528
2017,0.79584,0.80419,0.79401,0.82484,0.68985
2018,0.79576,0.79931,0.79164,0.82185,0.69226
2019,0.79715,0.79976,0.79305,0.82091,0.70358
2020,0.80626,0.80965,0.80574,0.83297,0.71543
