"Region, development group, country or area of destination",both_sexes_1990,both_sexes_1995,both_sexes_2000,both_sexes_2005,both_sexes_2010,both_sexes_2015,both_sexes_2020,both_sexes_2024
World,153916063,163176002,174566152,192788721,221020392,250042020,275284032,304021813
Sub-Saharan Africa,13802710,14578211,13518102,14849146,15787016,20399360,22040895,24306400
Northern Africa and Western Asia,16863681,18573252,20033534,23016410,32028416,44083778,48992329,54085710
Central and Southern Asia,25456471,20140424,18979217,17615413,18225935,17681574,17736883,20369652
Eastern and South-Eastern Asia,6755128,8203094,10530525,12702261,16051107,18869062,21161853,22588980
Latin America and the Caribbean,7253323,6728705,6589509,7111817,8275866,9109959,14287765,17510527
Oceania (excluding Australia and New Zealand),258678,280580,296618,306039,298175,302810,313069,321771
Australia/New Zealand,4517870,4810557,5075813,5735938,6836784,7865257,8948750,9579393
Europe and Northern America,79008202,89861179,99542834,111451697,123517093,131730220,141802488,155259380
More developed regions,84576547,96002830,106270516,119164163,132515657,142172964,154040280,168248302
Less developed regions,69339516,67173172,68295636,73624558,88504735,107869056,121243752,135773511
Least developed countries,11422703,12034741,10421623,10101907,10060920,12993561,15973234,19619461
"Less developed regions, excluding least developed countries",57916813,55138431,57874013,63522651,78443815,94875495,105270518,116154050
"Less developed regions, excluding China",66331223,63647155,64214442,69222288,83808625,102589546,115407463,129508188
Land-locked Developing Countries (LLDC),14076862,11932094,10884070,10682465,9776704,11758049,13062602,14973951
Small Island Developing States (SIDS),2208579,2621962,3082560,3341149,4039607,4603415,4807366,5308114
High-and-upper-middle-income countries,106669906,119813451,133558378,152602542,177327524,202226089,224031424,246110417
Low-and-Lower-middle-income countries,46128434,42239497,39880176,38984860,42209231,46273405,49787870,56502698
High-income countries,76960458,90343963,103962143,121605675,143669847,165526009,181860213,199081732
Low-and-middle-income countries,75837882,71708985,69476411,69981727,75866908,82973485,91959081,103531383
Middle-income countries,67107616,63470877,62638038,62931098,67880999,73463803,80298012,89147766
Upper-middle-income countries,29709448,29469488,29596235,30996867,33657677,36700080,42171211,47028685
Lower-middle-income countries,37398168,34001389,33041803,31934231,34223322,36763723,38126801,42119081
Low-income countries,8730266,8238108,6838373,7050629,7985909,9509682,11661069,14383617
No income group available,1051779,1048488,1044410,1112254,1388695,1451570,1374532,1319088
AFRICA,16176915,16653698,15413140,16602802,17752216,22683929,25267356,29180440
Eastern Africa,6347780,5361041,5239557,5141624,4424112,6304660,7528179,8302733
Middle Africa,1461155,2662490,1775284,1961951,2436802,3479911,3861568,4854994
Northern Africa,2374205,2075487,1895038,1753656,1965200,2284569,3226461,4874040
Southern Africa,1517089,1204498,1248435,1745545,2512206,3408739,2903653,2911844
Western Africa,4476686,5350182,5254826,6000026,6413896,7206050,7747495,8236829
ASIA,46701075,44841283,47648238,51580428,64340258,78349845,84664604,92170302
Central Asia,6300541,4912782,4048262,3978487,3786871,3766652,3822237,3910116
Eastern Asia,4118088,4952397,5921878,6662116,7484060,9237513,10919614,11559387
Southern Asia,19155930,15227642,14930955,13636926,14439064,13914922,13914646,16459536
South-Eastern Asia,2637040,3250697,4608647,6040145,8567047,9631549,10242239,11029593
Western Asia,14489476,16497765,18138496,21262754,30063216,41799209,45765868,49211670
EUROPE,51464935,56456601,59184839,65793082,72509226,75711153,82971932,94051503
Eastern Europe,22316123,21705675,20853646,20092493,19389898,17559211,16162524,18646093
Northern Europe,6656282,7237021,7963939,9668148,11953254,13955273,16246850,18543047
Southern Europe,5472616,7250345,8585552,11897749,15213351,15507903,17716268,20119984
Western Europe,17019914,20263560,21781702,24134692,25952723,28688766,32846290,36742379
LATIN AMERICA AND THE CARIBBEAN,7253323,6728705,6589509,7111817,8275866,9109959,14287765,17510527
Caribbean,1098014,1186981,1283729,1321462,1338511,1501120,1605381,1811926
Central America,1835750,1298418,1095698,1367196,1738911,1935255,2439531,3120680
South America,4319559,4243306,4210082,4423159,5198444,5673584,10242853,12577921
NORTHERN AMERICA,27543267,33404578,40357995,45658615,51007867,56019067,58830556,61207877
OCEANIA,4776548,5091137,5372431,6041977,7134959,8168067,9261819,9901164
Australia/New Zealand,4517870,4810557,5075813,5735938,6836784,7865257,8948750,9579393
Melanesia,91200,96828,95281,103881,110691,119343,124073,128055
Micronesia,108969,118687,130186,128390,114743,113466,118860,123424
Polynesia*,58509,65065,71151,73768,72741,70001,70136,70292
